"ticker","asset_type","exchange","currency","sector","theme","source","status","strategy_eligible","watchlist_eligible","benchmark_eligible","wealthsimple_supported_status","added_at","archived_at","notes"
"BHVN","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-29","","Seeded from existing paper-trading ledger"
"ASTS","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"QQQ","etf","NASDAQ","USD","US growth / technology","growth and technology","benchmark_registry.csv","benchmark","false","false","true","unknown","2026-06-03","","Nasdaq 100 ETF benchmark"
"VOO","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"VCN","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"SOFI","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"HLIT","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"GFS","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"ENTG","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"VTI","etf","NYSEARCA","USD","US total market","US broad market","benchmark_registry.csv","benchmark","false","false","true","unknown","2026-06-03","","Total US market ETF benchmark"
"MRVL","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"SNDK","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"SERV","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"PANW","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"SHLS","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"HIMS","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"EOSE","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"NVDA","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"SIDU","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"XEC","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"XEF","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"Q","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"ANET","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"AAPL","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"INTC","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"GAP","stock","","","Consumer Discretionary","retail turnaround","trades.csv","active","true","true","false","unknown","2026-05-20","","Added by user as GPS request; Gap Inc. changed ticker from GPS to GAP in 2024"
"MCHI","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"UMAC","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-29","","Seeded from existing paper-trading ledger"
"ACLS","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"MELI","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"AIQ","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"CCO","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"NINOY","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"ARM","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"SOBO","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"ONTO","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"TRP","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"SMSN.IL","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"PZA","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"SUOPY","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"ORCL","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"BX","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"APD","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"LMT","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"MOV","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-29","","Seeded from existing paper-trading ledger"
"ZEQT","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"KXIAY","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"HUTL","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"XIU","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"POET","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"LYSCF","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"BTCUSD","crypto","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"RCAT","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-29","","Seeded from existing paper-trading ledger"
"ENB","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"BRZE","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-29","","Seeded from existing paper-trading ledger"
"WOLF","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
