strategy,entry_signal_rule,entry_news_rule,exit_news_rule,none_streak,momentum_cutoff,entries,closed,open,deployed,ending,gain,return_pct,train_return_pct,test_return_pct
entry=fresh-only; entry-news=accelerating; exit=20none/-5%/zero,fresh-only,accelerating,zero,20,-5,60,22,38,60000,86833.13964870896695086800988,26833.13964870896695086800988,44.72189941451494491811334980,3.210735945268893103947318025,29.82136435194324966495346178
entry=fresh-only; entry-news=accelerating; exit=20none/-10%/zero,fresh-only,accelerating,zero,20,-10,60,20,40,60000,86647.36901570119808259514428,26647.36901570119808259514428,44.41228169283533013765857380,2.696105385807256471291390575,29.82136435194324966495346178
entry=fresh-only; entry-news=accelerating; exit=15none/-5%/zero,fresh-only,accelerating,zero,15,-5,62,24,38,62000,88103.97547392105358805246714,26103.97547392105358805246714,42.10318624825976385169752765,1.437494104142275478827574595,29.82136435194324966495346178
entry=fresh-or-strict; entry-news=accelerating; exit=20none/-10%/zero,fresh-or-strict,accelerating,zero,20,-10,83,24,59,83000,117762.4533978165409121469691,34762.4533978165409121469691,41.88247397327294085800839651,0.4499592570049609609152491224,29.17990702237739397430478411
entry=fresh-only; entry-news=accelerating; exit=15none/-10%/zero,fresh-only,accelerating,zero,15,-10,62,22,40,62000,87955.18555969943986809553628,25955.18555969943986809553628,41.86320251564425785176699400,1.035419092241086181812250262,29.82136435194324966495346178
entry=fresh-only; entry-news=accelerating; exit=10none/-5%/zero,fresh-only,accelerating,zero,10,-5,62,24,38,62000,87890.71244995603967273073024,25890.71244995603967273073024,41.75921362896135431085601652,0.9297249994636709185377248333,29.82136435194324966495346178
entry=fresh-only; entry-news=accelerating; exit=10none/-10%/zero,fresh-only,accelerating,zero,10,-10,62,22,40,62000,87713.28932773378377112911388,25713.28932773378377112911388,41.47304730279642543730502239,0.4594756827990478557017207381,29.82136435194324966495346178
entry=fresh-or-strict; entry-news=accelerating; exit=20none/-5%/zero,fresh-or-strict,accelerating,zero,20,-5,84,27,57,84000,118837.2584245136238464780562,34837.2584245136238464780562,41.47292669584955219818816214,0.8700658361573173957364143878,28.19302744435424437238227645
entry=fresh-only; entry-news=active; exit=20none/-5%/zero,fresh-only,active,zero,20,-5,70,27,43,70000,98830.18149266825726477122524,28830.18149266825726477122524,41.18597356095465323538746463,-0.1320465134500585048543481633,30.35390239236150490338523360
entry=fresh-only; entry-news=active; exit=20none/-10%/zero,fresh-only,active,zero,20,-10,70,24,46,70000,98783.54852039833129683765676,28783.54852039833129683765676,41.11935502914047328119665251,-0.5169178214187265936530835102,30.35390239236150490338523360
entry=fresh-only; entry-news=accelerating; exit=5none/-5%/zero,fresh-only,accelerating,zero,5,-5,62,25,37,62000,87097.30380403242557442860804,25097.30380403242557442860804,40.47952226456842834585259361,0.7053781367721021454393253095,29.82136435194324966495346178
entry=fresh-only; entry-news=accelerating; exit=5none/-10%/zero,fresh-only,accelerating,zero,5,-10,62,23,39,62000,86925.64436502677304470240362,24925.64436502677304470240362,40.20265220165608555597161874,0.2488518753851061584971591190,29.82136435194324966495346178
entry=fresh-or-strict; entry-news=active; exit=20none/-10%/zero,fresh-or-strict,active,zero,20,-10,89,27,62,89000,124696.4954415833354332480613,35696.4954415833354332480613,40.10842184447565779016636101,-1.703461108960250263790449667,29.44074916484974857926389924
entry=fresh-or-strict; entry-news=active; exit=20none/-5%/zero,fresh-or-strict,active,zero,20,-5,90,31,59,90000,125632.1628075425754672398514,35632.1628075425754672398514,39.59129200838063940804427933,-1.372606826671395240086273632,28.50786551865854086135755974
entry=fresh-only; entry-news=active; exit=15none/-10%/zero,fresh-only,active,zero,15,-10,73,27,46,73000,101051.1997545899799748835648,28051.1997545899799748835648,38.42630103368490407518296548,-1.661340177760382215397300059,30.35390239236150490338523360
entry=fresh-only; entry-news=active; exit=15none/-5%/zero,fresh-only,active,zero,15,-5,73,30,43,73000,100981.6097243573940016273009,27981.6097243573940016273009,38.3309722251471150707223300,-1.36407307556726022481799500,30.35390239236150490338523360
entry=fresh-only; entry-news=active; exit=10none/-5%/zero,fresh-only,active,zero,10,-5,73,30,43,73000,100674.3222652042622167840827,27674.3222652042622167840827,37.91003050027981125586860644,-1.886214036700951094355698255,30.35390239236150490338523360
entry=fresh-or-strict; entry-news=accelerating; exit=15none/-10%/zero,fresh-or-strict,accelerating,zero,15,-10,86,28,58,86000,118593.4642578824111317681771,32593.4642578824111317681771,37.89937704404931526949788035,-0.9585060159744322015303693333,28.67474689904022901970475854
entry=fresh-only; entry-news=active; exit=10none/-10%/zero,fresh-only,active,zero,10,-10,73,27,46,73000,100593.4985655246972964174279,27593.4985655246972964174279,37.79931310345848944714716151,-2.243001017882064362453286176,30.35390239236150490338523360
entry=fresh-or-strict; entry-news=accelerating; exit=15none/-5%/zero,fresh-or-strict,accelerating,zero,15,-5,87,31,56,87000,119697.2301201450275178219497,32697.2301201450275178219497,37.58302312660347990554247092,-0.4980882525426908195988862353,27.69861540874765739553969823
entry=fresh-or-strict; entry-news=accelerating; exit=10none/-5%/zero,fresh-or-strict,accelerating,zero,10,-5,87,31,56,87000,119694.3380533578708077634058,32694.3380533578708077634058,37.57969891190559862961311011,-0.5592233640701188300775023725,27.75995028748034527855093245
entry=fresh-or-strict; entry-news=accelerating; exit=10none/-10%/zero,fresh-or-strict,accelerating,zero,10,-10,86,28,58,86000,118218.0428496159529233914668,32218.0428496159529233914668,37.46284052280924758533891488,-1.695750398424799935900485157,28.67716815924840524988253780
