ticker,yahoo_symbol,baseline_date,baseline_close,first_spike_date,first_spike_close,first_spike_return_pct,latest_date,latest_close,latest_return_pct,leading_5d_avg_volume,prior_20d_avg_volume,leading_5d_vs_prior_20d,spike_day_volume,spike_day_vs_prior_20d,pre_spike_5d_return_pct,pattern
AAOI,AAOI,2026-01-02,39.6000,2026-02-20,51.6800,30.51,2026-06-01,185.6700,368.86,3067780,5517820,0.56,7979700,1.45,17.48,no >=1.5x volume expansion
ACLS,ACLS,2026-01-02,86.1200,2026-04-09,108.2400,25.69,2026-06-01,150.4200,74.66,529460,730140,0.73,645200,0.88,13.33,no >=1.5x volume expansion
AMAT,AMAT,2026-01-02,268.8700,2026-01-28,336.7500,25.25,2026-06-01,458.1700,70.41,6592260,8218367,0.80,8470000,1.03,3.54,no >=1.5x volume expansion
AMD,AMD,2026-01-02,223.4700,2026-04-21,284.4900,27.31,2026-06-01,510.1300,128.28,37126600,33951060,1.09,38950900,1.15,11.53,no >=1.5x volume expansion
AMKR,AMKR,2026-01-02,42.9200,2026-02-11,56.1700,30.87,2026-06-01,72.7500,69.50,6250940,4220620,1.48,5648400,1.34,28.04,no >=1.5x volume expansion
ANET,ANET,2026-01-02,133.6000,2026-04-21,172.8600,29.39,2026-06-01,170.6800,27.75,6896920,6799645,1.01,8918900,1.31,11.98,no >=1.5x volume expansion
ARM,ARM,2026-01-02,114.7300,2026-03-25,157.0700,36.90,2026-06-01,408.8500,256.36,7808000,3843865,2.03,29579900,7.70,22.37,volume expanded before threshold
ASMIY,ASMIY,2026-01-02,653.3500,2026-01-20,825.0000,26.27,2026-06-01,1013.0000,55.05,6340,6067,1.05,55400,9.13,12.35,volume expanded on threshold day
ASML,ASML,2026-01-02,1163.7800,2026-01-29,1455.1600,25.04,2026-06-01,1628.5699,39.94,2782500,2184392,1.27,2818900,1.29,4.31,no >=1.5x volume expansion
ASTS,ASTS,2026-01-02,83.4700,2026-01-16,115.7700,38.70,2026-06-01,105.6500,26.57,15733780,19427920,0.81,33680200,1.73,18.53,volume expanded on threshold day
ASX,ASX,2026-01-02,16.8600,2026-02-09,22.1500,31.38,2026-06-01,38.1700,126.39,12425260,7755240,1.60,13128100,1.69,14.12,volume expanded before threshold
AVGO,AVGO,2026-01-02,347.6200,2026-05-14,439.7900,26.51,2026-06-01,459.9700,32.32,19632820,20828925,0.94,19733800,0.95,6.60,no >=1.5x volume expansion
AXTI,AXTI,2026-01-02,16.7600,2026-01-07,24.1100,43.85,2026-06-01,109.5500,553.64,9677600,,,12595300,,,insufficient pre-spike sessions
BHVN,BHVN,2026-01-02,10.8400,2026-01-22,13.7600,26.94,2026-06-01,11.4300,5.44,3397220,3996462,0.85,2810600,0.70,17.61,no >=1.5x volume expansion
BTDR,BTDR,2026-01-02,11.5500,2026-01-14,14.7600,27.79,2026-06-01,18.5100,60.26,4077680,5012333,0.81,13706000,2.73,28.35,volume expanded on threshold day
CCO,CCO.TO,2026-01-02,135.3600,2026-01-21,169.2300,25.02,2026-06-01,155.8400,15.13,879540,1260488,0.70,1517700,1.20,10.03,no >=1.5x volume expansion
CDNS,CDNS,2026-01-02,310.4000,2026-06-01,414.1600,33.43,2026-06-01,414.1600,33.43,2327620,2419300,0.96,4402780,1.82,10.86,volume expanded on threshold day
CIFR,CIFR,2026-01-02,16.2000,2026-05-05,22.1000,36.42,2026-06-01,24.0100,48.21,19034640,25908460,0.73,63658800,2.46,28.04,volume expanded on threshold day
CLSK,CLSK,2026-01-02,11.5500,2026-05-06,14.5000,25.54,2026-06-01,18.8100,62.86,19451160,20070690,0.97,27147100,1.35,27.53,no >=1.5x volume expansion
COHR,COHR,2026-01-02,194.3300,2026-02-20,248.1800,27.71,2026-06-01,362.9000,86.74,4542860,5882385,0.77,6285900,1.07,14.84,no >=1.5x volume expansion
COST,COST,2026-01-02,854.5000,2026-05-18,1076.4700,25.98,2026-06-01,946.1100,10.72,1884980,1786945,1.05,2295200,1.28,7.70,no >=1.5x volume expansion
CRSR,CRSR,2026-01-02,6.0200,2026-05-08,7.8800,30.90,2026-06-01,11.4800,90.70,1204380,819015,1.47,3994100,4.88,13.22,volume expanded on threshold day
CUPR,CUPR,2026-01-02,3.2160,2026-04-07,4.8160,49.75,2026-06-01,2.6600,-17.29,1250408,81724,15.30,5636225,68.97,104.76,volume expanded before threshold
ENTG,ENTG,2026-01-02,89.5600,2026-01-15,113.5400,26.78,2026-06-01,135.7300,51.55,2305240,3245775,0.71,6207100,1.91,13.71,volume expanded on threshold day
EOSE,EOSE,2026-01-02,12.9700,2026-01-13,16.8200,29.68,2026-06-01,8.9700,-30.84,19927920,14115450,1.41,30497800,2.16,18.87,volume expanded on threshold day
FLNC,FLNC,2026-01-02,23.0100,2026-01-28,30.9900,34.68,2026-06-01,27.1500,17.99,4825760,5271375,0.92,6062600,1.15,17.65,no >=1.5x volume expansion
FNV,FNV.TO,2026-01-02,286.1000,2026-01-28,363.3200,26.99,2026-06-01,315.9900,10.45,573340,406054,1.41,470400,1.16,4.11,no >=1.5x volume expansion
